,Location,Price,Apt Type,Num of Bath,Neighborhood,District
3426,E 13th St.,"5,295",3 Bed,1,East Village, Downtown Manhattan
3427,East 88th Street,"4,850",1 Bed,1,Upper East Side, Upper Manhattan
3428,531 West 48th Street,"4,000",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3429,East 57th Street,"3,500",Studio,1,"Sutton Place, Midtown East", Midtown Manhattan
3430,"304 East 92nd Street, Apt 4C","2,500",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3431,"675 Academy Street, Apt AA","2,495",2 Bed,2,Inwood, Upper Manhattan
3432,East 38th Street,"3,600","Studio
/ Flex 2",1,Murray Hill, Midtown Manhattan
3433,Pine Street,"6,065","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
3434,Fifth Avenue,"8,908",3 Bed,3,Flatiron District, Midtown Manhattan
3435,City Hall Park,"3,430",1 Bed,1,Financial District, Downtown Manhattan
3436,FiDi,"5,486",1 Bed,1,Financial District, Downtown Manhattan
3437,Wall Street,"6,301",3 Bed,2,Financial District, Downtown Manhattan
3438,West 55th Street,"5,700",2 Bed,2,Hell's Kitchen, Midtown Manhattan
3439,East 67th Street,"2,775",Studio,1,"Lenox Hill, Upper East Side", Upper Manhattan
3440,East 68 Street,"4,795",1 Bed,1,Upper East Side, Upper Manhattan
3441,Gold Street,"6,495",2 Bed,2,Financial District, Downtown Manhattan
3442,Prince Street,"4,250",1 Bed,1,NoLita, Downtown Manhattan
3443,East 93 St & 1st Ave,"2,350",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3444,East 10th Street,"3,295",1 Bed,1,East Village, Downtown Manhattan
3445,West Street,"3,250",Studio,1,Financial District, Downtown Manhattan
3446,Wall Street,"3,938","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3447,Exchange Place,"3,025",Studio,1,Financial District, Downtown Manhattan
3448,Columbus Avenue,"5,200",1 Bed,1,"Manhattan Valley, Upper West Side", Upper Manhattan
3449,East 10th Street,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3450,East 5th Street,"3,595",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3451,Central Park South,"6,200",1 Bed,1,"Theater District, Midtown", Midtown Manhattan
3452,247 East 33rd Street,"3,350",Studio,1,"Rose Hill, Kips Bay", Midtown Manhattan
3453,West 43rd Street,"3,930",Studio,1,Hell's Kitchen, Midtown Manhattan
3454,East 97th Street,"2,500",2 Bed,1,"East Harlem, Harlem", Upper Manhattan
3455,East 80th Street,"2,275",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3456,Wall Street,"4,795",1 Bed,1,Financial District, Downtown Manhattan
3457,Spruce Street,"5,000",1 Bed,1,Financial District, Downtown Manhattan
3458,East 11th Street,"7,250",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
3459,635 East 9th Street,"3,625",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3460,East 7th Street,"2,599",Studio,1,East Village, Downtown Manhattan
3461,East 5 Street,"2,725",Studio,1,"Alphabet City, East Village", Downtown Manhattan
3462,Gold Street,"6,495","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
3463,East 68 Street,"6,650",2 Bed,2,Upper East Side, Upper Manhattan
3464,East 46th Street,"3,200",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3465,East 100th Street,"3,295",2 Bed,1,"East Harlem, Harlem", Upper Manhattan
3466,Second Avenue,"2,995",3 Bed,1,"East Harlem, Harlem", Upper Manhattan
3467,East 58 Street,"7,495",3 Bed,3,"Sutton Place, Midtown East", Midtown Manhattan
3468,Exchange Place,"6,045",2 Bed,2,Financial District, Downtown Manhattan
3469,West End Avenue,"9,895","2 Bed
/ Flex 3",2.5,Upper West Side, Upper Manhattan
3470,East 79th Street,"2,250",Studio,1,Upper East Side, Upper Manhattan
3471,East 44th Street,"9,200",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3472,West 23rd Street,"3,000",Studio,1,Chelsea, Midtown Manhattan
3473,West 31st Street,"5,335",1 Bed,1,Midtown South, Midtown Manhattan
3474,East 18th Street,"6,495",3 Bed,1,Gramercy Park, Midtown Manhattan
3475,East 9th Street,"3,595",1 Bed,1,East Village, Downtown Manhattan
3476,East 7 Street,"6,995",4 Bed,1.5,East Village, Downtown Manhattan
3477,East 57th Street,"5,900",2 Bed,1,Midtown East, Midtown Manhattan
3478,3rd St/ ave b,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
3479,East 3rd Street & Avenues A-B,"7,295",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
3480,John Street,"5,591","2 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
3481,"134 Orchard Street, Apt 6","4,295",2 Bed,1,Lower East Side, Downtown Manhattan
3482,East 46th Street,"3,500",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
3483,West 37th Street,"4,950",1 Bed,1,Hudson Yards, Midtown Manhattan
3484,West 38th Street,"5,545",1 Bed,1,Hudson Yards, Midtown Manhattan
3485,East 92nd Street,"5,650",2 Bed,2,"Carnegie Hill, Upper East Side", Upper Manhattan
3486,West 54th Street,"3,550",Studio,1,Hell's Kitchen, Midtown Manhattan
3487,East 55th Street,"6,950",2 Bed,2.5,"Sutton Place, Midtown East", Midtown Manhattan
3488,East 22nd Street,"4,350",1 Bed,1,Gramercy Park, Midtown Manhattan
3489,East 11th Street,"4,375",3 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3490,East 80th Street,"2,275",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3491,West 37th Street,"4,680",1 Bed,1,Hudson Yards, Midtown Manhattan
3492,West 31st Street,"11,536",3 Bed,2,Hudson Yards, Midtown Manhattan
3493,Astor Place,"6,795",2 Bed,1.5,NoHo, Downtown Manhattan
3494,East 25th Street,"4,795",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3495,East 13th Street,"3,495",1 Bed,1,East Village, Downtown Manhattan
3496,Ave B/ 3rd,"5,995",2 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3497,Columbus Avenue,"2,650",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
3498,East 68 Street,"20,250",4 Bed,4.5,Upper East Side, Upper Manhattan
3499,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
3500,Water Street,"5,546",2 Bed,1,Financial District, Downtown Manhattan
3501,Water Street,"5,595","2 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
3502,John Street,"4,120",1 Bed,1,Financial District, Downtown Manhattan
3503,West 16th Street,"4,995",2 Bed,1.5,Chelsea, Midtown Manhattan
3504,Fourth Avenue,"3,850",Studio,1,Greenwich Village, Downtown Manhattan
3505,Gold Street,"3,275",Studio,1,Financial District, Downtown Manhattan
3506,East 63rd Street,"4,550",1 Bed,1,Upper East Side, Upper Manhattan
3507,East 68th St,"2,925",Studio,1,Upper East Side, Upper Manhattan
3508,E 100th St.,"4,695",4 Bed,2,"East Harlem, Harlem", Upper Manhattan
3509,East 36th Street,"3,250",Studio,1,Murray Hill, Midtown Manhattan
3510,West End Avenue,"7,000",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
3511,Wall Street,"4,500",1 Bed,1,Financial District, Downtown Manhattan
3512,Water Street,"5,400","2 Bed
/ Flex 4",2,Financial District, Downtown Manhattan
3513,West 43rd Street,"5,085",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3514,East 7 Street,"5,695",2 Bed,1,East Village, Downtown Manhattan
3515,East 7 Street,"6,995",4 Bed,1.5,East Village, Downtown Manhattan
3516,Greenwich Street,"7,295",2 Bed,2,Tribeca, Downtown Manhattan
3517,West 64th Street,"5,230",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
3518,East 39th Street,"5,895",1 Bed,1.5,Murray Hill, Midtown Manhattan
3519,West 79th Street,"4,850",1 Bed,1,Upper West Side, Upper Manhattan
3520,West 57th Street,"4,350",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3521,Broad Street,"6,525",1 Bed,2,Financial District, Downtown Manhattan
3522,Exchange Pl,"3,900",1 Bed,1,Financial District, Downtown Manhattan
3523,Wall Street,"4,033",1 Bed,1,Financial District, Downtown Manhattan
3524,Fifth Avenue,"5,281",1 Bed,1,Midtown South, Midtown Manhattan
3525,Waterside Plaza,"3,225",Studio,1,Kips Bay, Midtown Manhattan
3526,West 31st Street,"5,335",1 Bed,1,Midtown South, Midtown Manhattan
3527,East 5th Street,"7,495",5 Bed,2.5,East Village, Downtown Manhattan
3528,West 11th Street & Greenwich A...,"4,500",2 Bed,1,West Village, Downtown Manhattan
3529,East 9th Street,"3,595",1 Bed,1,East Village, Downtown Manhattan
3530,East 23 Street,"7,495",4 Bed,2,"Rose Hill, Kips Bay", Midtown Manhattan
3531,East 61 Street,"3,150",1 Bed,1,Upper East Side, Upper Manhattan
3532,"240 Waverly Place, Apt 53","5,750",2 Bed,1,West Village, Downtown Manhattan
3533,West 38th Street,"5,470",1 Bed,1,Hudson Yards, Midtown Manhattan
3534,East 25th Street,"4,495",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3535,West 31st Street,"5,645",1 Bed,1,Midtown South, Midtown Manhattan
3536,East 36th Street,"3,825",1 Bed,1,Murray Hill, Midtown Manhattan
3537,West 53rd Street,"2,895",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3538,West 48th Street,"6,211",2 Bed,2,"Theater District, Midtown", Midtown Manhattan
3539,West 63rd Street,"23,000",3 Bed,3,"Lincoln Square, Upper West Side", Upper Manhattan
3540,East 44 Street,"5,325",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3541,East 14th Street,"2,850",1 Bed,1,East Village, Downtown Manhattan
3542,Second Avenue,"5,255",2 Bed,1,Kips Bay, Midtown Manhattan
3543,West 34th Street,"5,095",1 Bed,1,"Koreatown, Midtown South", Midtown Manhattan
3544,West 31st Street,"5,650",1 Bed,1,Midtown South, Midtown Manhattan
3545,East 56th Street,"2,800",Studio,1,Midtown East, Midtown Manhattan
3546,East 63rd Street,"4,500",1 Bed,1,Upper East Side, Upper Manhattan
3547,East 50th Street,"3,200",2 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3548,West 51st Street,"7,495",4 Bed,2,Hell's Kitchen, Midtown Manhattan
3549,6th Avenue,"4,895",1 Bed,1,Midtown South, Midtown Manhattan
3550,Stanton Street,"3,499",1 Bed,1,Bowery, Downtown Manhattan
3551,Rivington Street,"3,299",2 Bed,1,Lower East Side, Downtown Manhattan
3552,West 50th Street,"4,299",1 Bed,1,"Theater District, Midtown", Midtown Manhattan
3553,West 54th Street,"3,550",Studio,1,Hell's Kitchen, Midtown Manhattan
3554,West 13th Street,"3,850",1 Bed,1,West Village, Downtown Manhattan
3555,Gold Street,"4,295","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3556,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
3557,Barclay Street,"4,550",1 Bed,1,Tribeca, Downtown Manhattan
3558,East 87 St & 3rd Ave,"4,000",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
3559,East 88th Street,"4,850",1 Bed,1,Upper East Side, Upper Manhattan
3560,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
3561,Lexington Avenue,"2,400",2 Bed,1,"NoMad, Rose Hill", Midtown Manhattan
3562,Greenwich Street,"7,525",1 Bed,2,West Village, Downtown Manhattan
3563,East 68 Street,"2,800",Studio,1,Upper East Side, Upper Manhattan
3564,Wall Street,"4,355",1 Bed,1,Financial District, Downtown Manhattan
3565,East 46th Street,"2,900",Studio,1,"Turtle Bay, Midtown East", Midtown Manhattan
3566,"405 East 56th Street, Apt 1K","3,000",Studio,1,"Sutton Place, Midtown East", Midtown Manhattan
3567,Wall Street,"4,355",1 Bed,1,Financial District, Downtown Manhattan
3568,"429 East 9 Street, Apt 1","3,100",2 Bed,1,East Village, Downtown Manhattan
3569,Spruce Street,"7,495","2 Bed
/ Flex 3",2,Financial District, Downtown Manhattan
3570,East 9 Street,"2,850",1 Bed,1,East Village, Downtown Manhattan
3571,lexington,"2,795",1 Bed,1,"East Harlem, Harlem", Upper Manhattan
3572,FiDi,"3,925",1 Bed,1,Financial District, Downtown Manhattan
3573,Water St.,"3,071",Studio,1,Financial District, Downtown Manhattan
3574,FIDi,"4,025",1 Bed,1,Financial District, Downtown Manhattan
3575,East 10th Street,"3,495",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3576,East 5th Street,"7,495",5 Bed,2.5,East Village, Downtown Manhattan
3577,East 3rd Street,"3,199",1 Bed,1,Bowery, Downtown Manhattan
3578,Amsterdam Avenue,"2,600",Studio,1,"Manhattan Valley, Upper West Side", Upper Manhattan
3579,10th Avenue,"3,200","Studio
/ Flex 1",1,Hudson Yards, Midtown Manhattan
3580,Avenue B,"3,295",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3581,"200 E 94th St, Apt 1416","4,500",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3582,Sullivan Street,"2,850",1 Bed,1,SoHo, Downtown Manhattan
3583,East 69th Street,"3,895",Studio,1,Upper East Side, Upper Manhattan
3584,West 48th Street,"3,925",Studio,1,"Theater District, Midtown", Midtown Manhattan
3585,Wall Street,"4,355",1 Bed,1,Financial District, Downtown Manhattan
3586,"3rd Ave , East 37th Street","2,850",Studio,1,Murray Hill, Midtown Manhattan
3587,Broad Street,"4,285","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3588,Copy of Gold street,"4,485","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3589,West 37th Street,"4,680",1 Bed,1,Hudson Yards, Midtown Manhattan
3590,"3rd Ave , East 37th Street","2,850",Studio,1,Murray Hill, Midtown Manhattan
3591,Macdougal Street,"3,500",2 Bed,1,Greenwich Village, Downtown Manhattan
3592,FiDi,"4,085","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3593,Mott Street,"6,495",3 Bed,1,NoLita, Downtown Manhattan
3594,West 65th Street,"3,500",2 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
3595,"201 East 89th Street, Apt 4C","3,500",2 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3596,East 11th Street and Avenue B,"5,800",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
3597,East 22nd Street,"3,000",Studio,1,Gramercy Park, Midtown Manhattan
3598,West 42nd Street,"3,595","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
3599,East 80th Street,"1,950",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3600,Sullivan Street,"2,850",1 Bed,1,SoHo, Downtown Manhattan
3601,Water St,"3,875","1 Bed
/ Flex 3",1,Financial District, Downtown Manhattan
3602,West 181st Street,"3,100",3 Bed,1,"Hudson Heights, Washington Heights", Upper Manhattan
3603,East 38th Street + Lexington A...,"3,600",Studio,1,Murray Hill, Midtown Manhattan
3604,East 27th Street,"4,025",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3605,East 54 Street,"5,771",2 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
3606,W 48th Street,"5,500",2 Bed,1,Hell's Kitchen, Midtown Manhattan
3607,West 54th Street,"4,195",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3608,W 42nd St,"5,890","2 Bed
/ Flex 3",1,Hudson Yards, Midtown Manhattan
3609,10th Avenue,"4,200",1 Bed,1,Hudson Yards, Midtown Manhattan
3610,West 37th Street,"4,100","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
3611,W 42nd St,"5,890","2 Bed
/ Flex 3",1,Hudson Yards, Midtown Manhattan
3612,West 22nd Street,"3,700",Studio,1,Chelsea, Midtown Manhattan
3613,Fourth Avenue,"3,850",Studio,1,Greenwich Village, Downtown Manhattan
3614,West 42 Street,"7,000",2 Bed,2,Hell's Kitchen, Midtown Manhattan
3615,West 64th Street,"5,230",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
3616,Mulberry Street,"5,000",1 Bed,1,Little Italy, Downtown Manhattan
3617,East 5th Street,"6,995",4 Bed,1.5,East Village, Downtown Manhattan
3618,West 37th Street,"4,010","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
3619,East 82nd Street,"2,750",1 Bed,1,Upper East Side, Upper Manhattan
3620,West 53 Street,"2,995",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3621,West 13th Street,"3,100",Studio,1,West Village, Downtown Manhattan
3622,East 1st Street,"5,465",1 Bed,1,Bowery, Downtown Manhattan
3623,West 87th Street,"8,400",2 Bed,2,Upper West Side, Upper Manhattan
3624,William Street,"4,717",1 Bed,1,Financial District, Downtown Manhattan
3625,"East 54th Street, Sutton Place...","7,832","3 Bed
/ Flex 4",2,"Sutton Place, Midtown East", Midtown Manhattan
3626,West street,"6,240",3 Bed,2,Battery Park City, Downtown Manhattan
3627,East 49th Street,"4,380",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3628,East 49th Street,"4,380",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3629,"19 Dutch Street, Apt 30C","3,540",Studio,1,Financial District, Downtown Manhattan
3630,Second Avenue,"4,900",1 Bed,2,East Village, Downtown Manhattan
3631,West 37th Street,"5,700","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
3632,West 42nd Street,"5,300","2 Bed
/ Flex 3",2,Hudson Yards, Midtown Manhattan
3633,Wall Street,"4,033","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3634,West 51st Street,"7,495",4 Bed,2,Hell's Kitchen, Midtown Manhattan
3635,West 53rd Street,"6,200",2 Bed,2,Hell's Kitchen, Midtown Manhattan
3636,Pearl St,"2,995",Studio,1,Financial District, Downtown Manhattan
3637,Mott Street,"4,195",1 Bed,1,NoLita, Downtown Manhattan
3638,West 52nd Street,"4,495",2 Bed,1,Hell's Kitchen, Midtown Manhattan
3639,West 103rd Street,"5,750","4 Bed
/ Flex 5",1.5,"Manhattan Valley, Upper West Side", Upper Manhattan
3640,West 53rd Street,"2,895",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3641,East 83 Street,"3,095",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3642,West 63rd Street,"4,845",Studio,1,"Lincoln Square, Upper West Side", Upper Manhattan
3643,West 11th Street,"4,800",2 Bed,1,West Village, Downtown Manhattan
3644,East 54 Street,"2,950",Studio,1,Midtown East, Midtown Manhattan
3645,FiDi,"4,125",1 Bed,1,Financial District, Downtown Manhattan
3646,Wall Street,"3,626",Studio,1,Financial District, Downtown Manhattan
3647,East 79 Street,"2,295",Studio,1,Upper East Side, Upper Manhattan
3648,Gold Street & Maiden Street,"4,350",1 Bed,1,Financial District, Downtown Manhattan
3649,West 34th Street,"5,395",1 Bed,1,"Koreatown, Midtown South", Midtown Manhattan
3650,East 73rd St & 1st Ave. Check ...,"5,000",3 Bed,2,Upper East Side, Upper Manhattan
3651,"Park Ave , East 34th Street","4,095","1 Bed
/ Flex 2",1,Murray Hill, Midtown Manhattan
3652,East 25th Street,"3,995",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3653,Maiden Lane,"3,988","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3654,Copy of Gold street,"4,485","1 Bed
/ Flex 2",1,Financial District, Downtown Manhattan
3655,"Park Ave , East 34th Street","4,095","1 Bed
/ Flex 2",1,Murray Hill, Midtown Manhattan
3656,East 25th Street,"3,995",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3657,East 36th Street,"2,900",Studio,1,Murray Hill, Midtown Manhattan
3658,Third Avenue,"2,395",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3659,1st Avenue,"2,450",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
3660,West 94th Street,"5,100","2 Bed
/ Flex 4",1,Upper West Side, Upper Manhattan
3661,East 83 Street,"3,095",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3662,West 87th Street,"8,400",2 Bed,2,Upper West Side, Upper Manhattan
3663,East 13th Street,"4,395",2 Bed,1,East Village, Downtown Manhattan
3664,East 26th Street,"4,495",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3665,West 38th Street,"8,940",2 Bed,2,Hudson Yards, Midtown Manhattan
3666,West 144th Street,"2,875",2 Bed,1,"Hamilton Heights, West Harlem, Harlem", Upper Manhattan
3667,East 79th Street,"2,295",Studio,1,Upper East Side, Upper Manhattan
3668,West 24th Street,"9,255",2 Bed,1,Flatiron District, Midtown Manhattan
3669,East 3rd Street,"6,995",4 Bed,2,"Alphabet City, East Village", Downtown Manhattan
3670,East 31st Street,"7,720","2 Bed
/ Flex 3",2,"Rose Hill, Kips Bay", Midtown Manhattan
3671,Broadway,"4,995",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
3672,East 29 Street,"3,350",1 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3673,East 39th Street,"8,195",2 Bed,2.5,Murray Hill, Midtown Manhattan
3674,East 39th Street,"4,700",1 Bed,1.5,Murray Hill, Midtown Manhattan
3675,East 38th Street Lexington ave...,"3,595",1 Bed,1,Murray Hill, Midtown Manhattan
3676,"655 2nd Avenue, Apt 5B","3,995",1 Bed,1,Murray Hill, Midtown Manhattan
3677,Broad Street,"4,354",Studio,1,Financial District, Downtown Manhattan
3678,East 80th Street,"4,200","1 Bed
/ Flex 2",1.5,"Yorkville, Upper East Side", Upper Manhattan
3679,East 48th Street,"5,995",2 Bed,1.5,"Turtle Bay, Midtown East", Midtown Manhattan
3680,E 58th & 1st Ave,"2,300",1 Bed,1,"Sutton Place, Midtown East", Midtown Manhattan
3681,East 1 Street,"4,795",2 Bed,2,Bowery, Downtown Manhattan
3682,East 34th Street,"3,296",Studio,1,Murray Hill, Midtown Manhattan
3683,East 11th Street,"4,375",3 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3684,York Avenue,"2,400",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3685,East 56th Street,"4,200",1 Bed,1,Midtown East, Midtown Manhattan
3686,West 31st Street,"5,625",1 Bed,1,Midtown South, Midtown Manhattan
3687,West 34th Street,"4,995",1 Bed,1,"Koreatown, Midtown South", Midtown Manhattan
3688,Cherry Street,"7,362",2 Bed,2,Two Bridges, Downtown Manhattan
3689,West 53 Street,"2,995",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3690,W 42nd St,"3,490",Studio,1,Hudson Yards, Midtown Manhattan
3691,East 88th Street,"2,700",1 Bed,1,"Carnegie Hill, Upper East Side", Upper Manhattan
3692,East 80th Street,"2,275",1 Bed,1,"Yorkville, Upper East Side", Upper Manhattan
3693,Mott Street,"4,295",1 Bed,1,NoLita, Downtown Manhattan
3694,East 24 Street,"3,300",Studio,1,"Rose Hill, Flatiron District", Midtown Manhattan
3695,East 70th Street,"2,625",Studio,1,Upper East Side, Upper Manhattan
3696,W 48th Street,"4,250",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3697,Battery Park City,"3,750",Studio,1,Financial District, Downtown Manhattan
3698,John Street,"4,000",Studio,1,Financial District, Downtown Manhattan
3699,W 48th Street,"4,250",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3700,Spruce Street,"5,200",1 Bed,1,Financial District, Downtown Manhattan
3701,W 42nd St,"4,180","1 Bed
/ Flex 2",1,Hudson Yards, Midtown Manhattan
3702,Wall Street,"6,650",2 Bed,2,Financial District, Downtown Manhattan
3703,120.5 First Ave,"4,795",2 Bed,2,Bowery, Downtown Manhattan
3704,East 57th Street,"3,600",Studio,1,Midtown East, Midtown Manhattan
3705,Gold Street,"4,200","1 Bed
/ Flex 3",1,Financial District, Downtown Manhattan
3706,East 34th Street,"3,295",Studio,1,Kips Bay, Midtown Manhattan
3707,Astor Place,"3,500",Studio,1,NoHo, Downtown Manhattan
3708,East 88th Street,"6,750",2 Bed,2,"Yorkville, Upper East Side", Upper Manhattan
3709,West 13th Street,"3,950",1 Bed,1,West Village, Downtown Manhattan
3710,Water Street,"5,679",2 Bed,2,Financial District, Downtown Manhattan
3711,71st Street & Broadway,"4,150",1 Bed,1,"Lincoln Square, Upper West Side", Upper Manhattan
3712,E 35th St.,"3,295",1 Bed,1,Murray Hill, Midtown Manhattan
3713,West 37th Street,"3,380",Studio,1,Hudson Yards, Midtown Manhattan
3714,East 44th Street,"5,895",1 Bed,1,"Turtle Bay, Midtown East", Midtown Manhattan
3715,Fourth Ave,"3,850",Studio,1,Greenwich Village, Downtown Manhattan
3716,W 48th Street,"3,400",Studio,1,Hell's Kitchen, Midtown Manhattan
3717,East 12th Street,"7,250",4 Bed,2,East Village, Downtown Manhattan
3718,West 57th Street,"4,570",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3719,"606 West 57th Street, Apt 622","4,170",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3720,West 54th Street,"3,873",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3721,Avenue B,"4,995",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3722,East 80th Street,"1,950",Studio,1,"Yorkville, Upper East Side", Upper Manhattan
3723,West 64th Street,"10,570",2 Bed,2,"Lincoln Square, Upper West Side", Upper Manhattan
3724,West 52nd Street,"4,595",2 Bed,1,Hell's Kitchen, Midtown Manhattan
3725,W 38th Street,"3,868","Studio
/ Flex 1",1,Hudson Yards, Midtown Manhattan
3726,West 14th Street,"4,750",2 Bed,1,West Village, Downtown Manhattan
3727,East 72nd Street,"14,750",3 Bed,1,Upper East Side, Upper Manhattan
3728,West 31st Street,"5,645",1 Bed,1,Midtown South, Midtown Manhattan
3729,Wall Street,"3,277",Studio,1,Financial District, Downtown Manhattan
3730,East 13th Street,"3,395",1 Bed,1.5,East Village, Downtown Manhattan
3731,East 29th Street,"4,195",2 Bed,1,"Rose Hill, Kips Bay", Midtown Manhattan
3732,West 37th Street,"4,498",Studio,1,Midtown South, Midtown Manhattan
3733,Water Street,"3,425",Studio,1,Financial District, Downtown Manhattan
3734,East 68th Street,"11,295",2 Bed,2,Upper East Side, Upper Manhattan
3735,West 54th Street,"6,675",2 Bed,2,Hell's Kitchen, Midtown Manhattan
3736,West 90th St & Columbus Ave,"3,800",1 Bed,1,Upper West Side, Upper Manhattan
3737,West 43rd Street,"4,089",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3738,Mott Street,"4,395",1 Bed,1,NoLita, Downtown Manhattan
3739,west 130 st,"3,000",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
3740,West 21st Street,"7,038",1 Bed,1,Flatiron District, Midtown Manhattan
3741,E 14th Street,"5,480",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3742,East 3rd Street,"4,495","1 Bed
/ Flex 2",1,"Alphabet City, East Village", Downtown Manhattan
3743,10th Ave.,"3,395",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3744,West 90th St & Columbus Ave,"3,800",1 Bed,1,Upper West Side, Upper Manhattan
3745,West 43rd Street,"4,089",1 Bed,1,Hell's Kitchen, Midtown Manhattan
3746,Mott Street,"4,395",1 Bed,1,NoLita, Downtown Manhattan
3747,Gold Street,"6,495",2 Bed,2,Financial District, Downtown Manhattan
3748,west 130 st,"3,000",1 Bed,1,"Central Harlem, Harlem", Upper Manhattan
3749,West 21st Street,"7,038",1 Bed,1,Flatiron District, Midtown Manhattan
3750,West 39th Street,"3,750",1 Bed,1,"Garment District, Hudson Yards", Midtown Manhattan
3751,Avenue B,"3,095",1 Bed,1,"Alphabet City, East Village", Downtown Manhattan
3752,Madison Avenue,"4,995",1 Bed,1,NoMad, Midtown Manhattan
